"Class.","Doss.",Nom,"Prénom",Club,Catégorie,place,FFSA,Temps,Moyenne
50,133,DEBUCK,Laurent,"union cycliste pontcharra-grésivaudan",U3,8,"","00:33:04,4","31,51"
51,142,DECHAUMEL,Dominique,"Veloce vannetais cyclisme",M3,5,"","00:33:14,6","31,35"
52,129,MELEZE,Louison,"SUD GRESIVAUDAN CYCLISME COMPETITION",UC,1,"","00:33:21,0","31,25"
53,138,ARNAUD,Agathe,"",U3,9,"","00:33:26,0","31,17"
54,87,REY,Jerome,"Fontanil triathlon",M2,10,"","00:33:30,1","31,11"
55,39,PELLEGRIN,"Noémie","UC Voironnaise",F1,1,"","00:33:35,6","31,02"
56,69,BRES,Romain,"",M2,11,"","00:33:38,5","30,98"
57,83,RAMBAUD,Julien,"TEAM 3 MASSIFS",U4,1,"","00:33:54,7","30,73"
58,79,BERTRAND,"Jean-Paul","Cyclo team 69",U3,10,"","00:33:57,8","30,69"
59,111,"DÉNARIÉ","Raphaël","Aquatique Club Olympide (ACO)",CJ,4,"","00:34:15,8","30,42"
60,109,PREY,"Rémi","UC VOIRON",M2,12,"","00:34:22,7","30,32"
61,115,SIMEONE,Franck,"VELO CLUB FRANCHEVILLE",M4,3,"","00:35:26,3","29,41"
62,100,FOURIER,Thomas,"",SH,8,"","00:35:35,1","29,29"
63,8,GIRARD,Thomas,"Elan Chambérien",M1,5,X,"00:36:13,0","28,78"
64,31,RENARD,Pascal,"Cyclo Team 69",U3,11,"","00:36:36,9","28,46"
65,11,POMORSKI,Vincent,"La Passerelle",M1,6,X,"00:37:52,3","27,52"
66,97,KOSSOVSKY,Boris,"Guc triathlon",M1,7,"","00:38:15,1","27,25"
67,6,HOEHE,Baptiste,"ASA Claudine Desmars - La Sauvegarde",CJ,5,X,"00:38:29,3","27,08"
68,106,CARRE,"Hervé","TEAM 3 MASSIFS",U4,2,"","00:38:36,2","27,00"
69,1,BARLETIER,Emmanuel,CHAMBARAID,M3,6,"","00:38:53,1","26,80"
70,71,FAUCHEUR,Pierre,"Bourgoin-Jallieu",M5,1,"","00:39:28,4","26,40"
71,5,LEROUX,Tara,"Athletic club Boulogne Billancourt",F1,2,X,"00:40:25,8","25,78"
72,34,FAVRO,Christian,CVAC,M5,2,"","00:41:52,0","24,89"
73,77,CORTESE,Gilles,"",M4,4,"","00:43:47,3","23,80"
74,7,"GIARDINA-PAGANON",Axel,"ASA Claudine Desmars - La Sauvegarde",SH,9,X,"01:03:48,5","16,33"
75,4,PORCHER,Nathan,"ASA Claudine Desmars - La Sauvegarde","","",X,"01:17:45,8","13,40"
